article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url,article_index
THC22T04N-Q11,ÜBERGANGSJACKE - Jas - black,MEN,COAT,ÜBERGANGSJACKE,Threadbare,6999,3999,https://www.zalando.nl/threadbare-winterjas-black-thc22t04n-q11.html,https://img01.ztat.net/article/spp-media-p1/c63df616f5024205870b760265ce12bf/044afe2ac2bc4e0c9d5bac0839ae4377.jpg?imwidth=600&filter=packshot,557
ON321N0VE-K11,ONLPAOLA  - Jeans Skinny Fit - dark blue denim,WOMEN,TROUSER,ONLPAOLA,ONLY,3499,2459,https://www.zalando.nl/only-onlpaola-jeans-skinny-fit-dark-blue-denim-on321n0ve-k11.html,https://img01.ztat.net/article/spp-media-p1/cc86ac98740b4ad4961535988b063ae1/218538e6a6e3465cafdb0969d867fa6f.jpg?imwidth=600&filter=packshot,558
M9121N1HD-K11,ELSA - Jeans Skinny Fit - middenblauw,WOMEN,TROUSER,ELSA,Mango,1999,1999,https://www.zalando.nl/mango-jeans-skinny-fit-middenblauw-m9121n1hd-k11.html,https://img01.ztat.net/article/spp-media-p1/c8d0b541a1bc4f94be6f15f27e1545e5/d2e215e560664d50982e76352e138d7a.jpg?imwidth=600&filter=packshot,559
JA222D214-N11,JORBEST SOLID - Overhemd - forest night,MEN,SHIRT,JORBEST SOLID,Jack & Jones,2499,1759,https://www.zalando.nl/jack-and-jones-jorbest-solid-overhemd-forest-night-ja222d214-n11.html,https://img01.ztat.net/article/spp-media-p1/ebc43b57592b4377b55225cff535a0ce/6604473fa9d94477b2acda1e126ee198.jpg?imwidth=600&filter=packshot,560
LE221N07V-Q13,HIGH WAISTED MOM - Relaxed fit jeans - natural born,WOMEN,TROUSER,HIGH WAISTED MOM,Levi's®,6995,6995,https://www.zalando.nl/levis-high-waisted-mom-relaxed-fit-jeans-natural-born-le221n07v-q13.html,https://img01.ztat.net/article/spp-media-p1/88e59f9bf28f4f0980c28980f1a28530/8d6880c7d3f94d49bfe42b9e9220546d.jpg?imwidth=600&filter=packshot,561
PUC21N0H1-K12,WIDE LEG - Relaxed fit jeans - dark-blue denim,WOMEN,TROUSER,WIDE LEG,PULL&BEAR,2999,2999,https://www.zalando.nl/pullandbear-relaxed-fit-jeans-dark-blue-denim-puc21n0h1-k12.html,https://img01.ztat.net/article/spp-media-p1/3f43cb579cc54293a4623e227a4a798b/8caab06e59b749c4a9087f3f9469f94c.jpg?imwidth=600&filter=packshot,562
AD541E1JG-Q11,Legging - black/white,WOMEN,TROUSER,Legging,adidas Performance,2995,2845,https://www.zalando.nl/adidas-performance-legging-blackwhite-ad541e1jg-q11.html,https://img01.ztat.net/article/spp-media-p1/cb90cd019eea4010a2c1e01c7aac3e15/385ff6a4833c444c913cd81f1f2f6df5.jpg?imwidth=600&filter=packshot,563
ON321N1BQ-K11,ONLBLUSH LIFE  - Jeans Skinny Fit - special blue grey denim,WOMEN,TROUSER,ONLBLUSH LIFE,ONLY,3999,2999,https://www.zalando.nl/only-onlblush-life-jeans-skinny-fit-special-blue-grey-denim-on321n1bq-k11.html,https://img01.ztat.net/article/spp-media-p1/3fd74485b49e3c4390a6d40c125ca09e/0ec32cea2cb44ce6b3bdcada95cecbea.jpg?imwidth=600&filter=packshot,564
NX324G2QO-O11,STAG EMBROIDERED    - Poloshirt - brown,KIDS,T_SHIRT_TOP,STAG EMBROIDERED,Next,1000,1000,https://www.zalando.nl/next-stag-embroidered-poloshirt-brown-nx324g2qo-o11.html,https://img01.ztat.net/article/spp-media-p1/cd93ec044ac847c5bbb9515d58502827/872758c4ae3e40f2ac4fe31b47136a13.jpg?imwidth=600&filter=packshot,565
PUC22S0IS-I11,Hoodie - mauve,ALL,PULLOVER,Sweater,PULL&BEAR,1999,1999,https://www.zalando.nl/pullandbear-sweater-mauve-puc22s0is-i11.html,https://img01.ztat.net/article/spp-media-p1/af20fbe7ca6d41d684408c650c3949b6/41f367a246c14983a707af3a75c2811b.jpg?imwidth=600&filter=packshot,566
