article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url
BRH22O020-Q11,STAR - T-shirt print - black combo,MEN,T_SHIRT_TOP,STAR,Brave Soul,1495,1495,https://www.zalando.nl/brave-soul-star-t-shirt-print-blackwhitebottle-green-brh22o020-q11.html,https://img01.ztat.net/article/spp-media-p1/7a384cef40db49858ae4274f4dc6ad2e/fa311c8975d94ad79e36ab6258792523.jpg?imwidth=103&filter=packshot
ANH21B005-Q11,A-lijn rok - black,WOMEN,SKIRT,Plooirok,Anna Field Tall,2999,2999,https://www.zalando.nl/anna-field-tall-plooirok-black-anh21b005-q11.html,https://img01.ztat.net/article/spp-media-p1/45af2657fba33cecaf4a21c68335bb0d/0c882eab7bab4fa9b3522c91f70b0736.jpg?imwidth=103&filter=packshot
JA222P0A1-Q12,JJEBASIC 2 PACK  - Poloshirt - black,MEN,T_SHIRT_TOP,JJEBASIC 2 PACK,Jack & Jones,2799,1969,https://www.zalando.nl/jack-and-jones-jjebasic-2-pack-poloshirt-black-ja222p0a1-q12.html,https://img01.ztat.net/article/spp-media-p1/a3c9dfdcbc5048c0ac3ecc8b2243fefc/1cc17b202597427dae9cd97114efd4ce.jpg?imwidth=103&filter=packshot
JAM22O07X-T11,JPRBRODY TEE CREW NECK 5 PACK - T-shirt basic - multi,MEN,T_SHIRT_TOP,JPRBRODY TEE CREW NECK 5 PACK,Jack & Jones PREMIUM,4999,4999,https://www.zalando.nl/jack-and-jones-premium-jprbrody-tee-crew-neck-5-pack-t-shirt-basic-multi-jam22o07x-t11.html,https://img01.ztat.net/article/spp-media-p1/1653a2332a954513a5620373b74724c0/73c68f54c87546919e197e27130b1290.jpg?imwidth=103&filter=packshot
TRU21C0HW-Q11,Jurk - black,WOMEN,DRESS,Jurk,Trendyol,4999,4999,https://www.zalando.nl/trendyol-korte-jurk-black-tru21c0hw-q11.html,https://img01.ztat.net/article/spp-media-p1/4f63a9001f6a4f2cb10b7628995de57a/4ae0ed230d0e4f54863b4897a66ef3f6.jpg?imwidth=103
BEJ21G0CZ-Q11,RACING PRINT  - Bomberjacks - black,WOMEN,COAT,RACING PRINT,Bershka,3999,3999,https://www.zalando.nl/bershka-racing-print-bomberjacks-black-bej21g0cz-q11.html,https://img01.ztat.net/article/spp-media-p1/2f345401c6d348c49a8254b462946964/07719606d25d4f338923a548191113af.jpg?imwidth=103&filter=packshot
VEB21C0D2-M11,VMSAGA WRAP FRILL ANKLE DRESS TALL - Maxi-jurk - laurel wreath,WOMEN,DRESS,VMSAGA WRAP FRILL ANKLE DRESS TALL,Vero Moda Tall,4499,4499,https://www.zalando.nl/vero-moda-tall-vmsaga-wrap-frill-ankle-dress-tall-jurk-laurel-wreath-veb21c0d2-m11.html,https://img01.ztat.net/article/spp-media-p1/fd774f1d68c44ed4906e136f558343ac/006f976814d84ca88040a72271ecabe7.jpg?imwidth=103&filter=packshot
N1241E18R-K12,ONE TIGHT - Legging - dark blue,WOMEN,TROUSER,ONE TIGHT,Nike Performance,3995,3995,https://www.zalando.nl/nike-performance-legging-dark-blue-n1241e18r-k12.html,https://img01.ztat.net/article/spp-media-p1/3fd4212c5b183fd597b86678c2236529/90d254242fb04bae83eb6e5a6779defe.jpg?imwidth=103&filter=packshot
NM321N08X-Q11,NMELLA SUPER  - Jeans Skinny Fit - black,WOMEN,TROUSER,NMELLA SUPER,Noisy May,2499,2499,https://www.zalando.nl/noisy-may-jeggings-black-nm321n08x-q11.html,https://img01.ztat.net/article/spp-media-p1/f97317e1a54d35d48933c4eac7854a5d/3ee47d6052a84c0fa3a4546aa334d5ae.jpg?imwidth=103&filter=packshot
S6683C03P-K11,BELLA - Bikini - poseidon blue,KIDS,BIKINI_COMBINATION,BELLA,Shiwi,3299,3299,https://www.zalando.nl/shiwi-bikini-poseidon-blue-s6683c03p-k11.html,https://img01.ztat.net/article/spp-media-p1/dc3f0db68dc7444caca4c90a036025a1/3513bd4a92dc4687920c0d374575131f.jpg?imwidth=103&filter=packshot
S2L21A01S-K11,YUMA FLARED  - Legging - blue,WOMEN,TROUSER,YUMA FLARED,Stieglitz,10000,10000,https://www.zalando.nl/stieglitz-yuma-flared-legging-blue-s2l21a01s-k11.html,https://img01.ztat.net/article/spp-media-p1/93313b8ec76a4b5281093bbc19ca2d18/744828555fdc45ec8f334588d40ad649.jpg?imwidth=103
LY222T01Q-K11,Korte jassen - dark navy,MEN,COAT,Korte jassen,Lyle & Scott,14995,12795,https://www.zalando.nl/lyle-and-scott-softshell-jacket-korte-jassen-dark-navy-ly222t01q-k11.html,https://img01.ztat.net/article/spp-media-p1/ab03f8f8e8b7337b92686856d592fae9/d6e5524d402146f19471383c55dc5541.jpg?imwidth=103&filter=packshot
PUC21N0GT-K11,Straight leg jeans - dark-blue denim,WOMEN,TROUSER,Straight leg jeans,PULL&BEAR,2999,2999,https://www.zalando.nl/pullandbear-straight-leg-jeans-dark-blue-denim-puc21n0gt-k11.html,https://img01.ztat.net/article/spp-media-p1/5b6751fd815c42eabbc8b6a673a71b2c/cc47a8ead9cb48f7bbff66ca522f54c1.jpg?imwidth=103&filter=packshot
V1021C2F4-Q11,VIDIANA FLOUNCE DRESS - Jurk - black/black tropical print,WOMEN,DRESS,VIDIANA FLOUNCE DRESS,Vila,3499,3499,https://www.zalando.nl/vila-vidiana-flounce-dress-korte-jurk-blackblack-tropical-print-v1021c2f4-q11.html,https://img01.ztat.net/article/spp-media-p1/d636a55f304944e2b23b8503d3910569/13c3883efe30436f814b1302b50829af.jpg?imwidth=103&filter=packshot
ON321I1Z6-A11,ONLBRYNN LIFE STRUCTURE  - Trui - cloud dancer,WOMEN,PULLOVER,ONLBRYNN LIFE STRUCTURE,ONLY,2999,2409,https://www.zalando.nl/only-onlbrynn-life-structure-trui-cloud-dancer-on321i1z6-a11.html,https://img01.ztat.net/article/spp-media-p1/7e360273eef5348c9d4f54b8616eaf23/e68da9aa1803485caa654e1cd660f13d.jpg?imwidth=103&filter=packshot
M9121J0EZ-H11,SUN - Sweater - mandarine,WOMEN,PULLOVER,SUN,Mango,2999,2999,https://www.zalando.nl/mango-sun-sweater-mandarine-m9121j0ez-h11.html,https://img01.ztat.net/article/spp-media-p1/bd0926abc58545ab916095d154be4dc7/97c777d58e944304880783469d641fc5.jpg?imwidth=103&filter=packshot
NX323D1IA-K11,Jumpsuit - blue denim,KIDS,ONE_PIECE_SUIT,Jumpsuit,Next,2600,2600,https://www.zalando.nl/next-jumpsuit-blue-denim-nx323d1ia-k11.html,https://img01.ztat.net/article/spp-media-p1/8712ff00bd064417898ac8e9a4e397df/698d8706ce834e3092429a89c9e2c2ce.jpg?imwidth=103&filter=packshot
JY121U04D-J11,JDYALMOND - Trenchcoat - ash rose,WOMEN,COAT,JDYALMOND,JDY,4499,4499,https://www.zalando.nl/jdy-jdyalmond-trenchcoat-ash-rose-jy121u04d-j11.html,https://img01.ztat.net/article/spp-media-p1/fb8d9d0d75ad4a1cb640cb0d6abb5f89/a08f18bc29d5447f848db15bd635ad3c.jpg?imwidth=103&filter=packshot
M9121E4DJ-M11,JUANES - Overhemdblouse - pastellgrün,WOMEN,SHIRT,JUANES,Mango,2999,2999,https://www.zalando.nl/mango-juanes-overhemdblouse-pastellgruen-m9121e4dj-m11.html,https://img01.ztat.net/article/spp-media-p1/7cc768ac5eaa45048dc3453fb7e68f39/ba6cdc4a22b240f98936920a32a6d2eb.jpg?imwidth=103&filter=packshot
BEJ21U08W-Q11,Bodywarmer - black,WOMEN,VEST,Bodywarmer,Bershka,2599,2599,https://www.zalando.nl/bershka-bodywarmer-black-bej21u08w-q11.html,https://img01.ztat.net/article/spp-media-p1/7cf38a5581d44ec090639eb3dc81dd6c/a071a47503194979a360794a91dec944.jpg?imwidth=103
TO124G05T-K12,BOYS BASIC  - T-shirt basic - royalblau,KIDS,T_SHIRT_TOP,BOYS BASIC,Tommy Hilfiger,1495,1275,https://www.zalando.nl/tommy-hilfiger-boys-basic-t-shirt-basic-to124g05t-k12.html,https://img01.ztat.net/article/spp-media-p1/e5b8a613e03c3b77b37bbf84afa281b9/0a24e6f3a7e74dbbad01c39e82c2cd08.jpg?imwidth=103&filter=packshot
LY222Q01C-K12,CREW NECK JUMPER - Trui - dark navy,MEN,PULLOVER,CREW NECK JUMPER,Lyle & Scott,7495,5245,https://www.zalando.nl/lyle-and-scott-crew-trui-ly222q01c-k12.html,https://img01.ztat.net/article/spp-media-p1/7fcd8e5404f341aa97e0b084d56ab5d3/ae9b1fa08e0c4c2d9318c57be816b764.jpg?imwidth=103&filter=packshot
PUC21N0ER-C11,Straight leg jeans - light grey,WOMEN,TROUSER,Straight leg jeans,PULL&BEAR,1999,1999,https://www.zalando.nl/pullandbear-straight-leg-jeans-light-grey-puc21n0er-c11.html,https://img01.ztat.net/article/spp-media-p1/705601c328f44612b8c51bd43c67e67f/14e55e07619e44c480a8d01a11207da9.jpg?imwidth=103&filter=packshot
V1021U0AW-O11,VIMOVEMENT - Trenchcoat - tigers eye,WOMEN,COAT,VIMOVEMENT,Vila,5499,4399,https://www.zalando.nl/vila-vimovement-trenchcoat-tigers-eye-v1021u0aw-o11.html,https://img01.ztat.net/article/spp-media-p1/c5f89ecee7734c6498b767e9dd24ad94/0ed30ac64d384c2b872dd845cb4e6616.jpg?imwidth=103&filter=packshot
V1021E0PF-Q11,VILUCY  - Tuniek - black,WOMEN,SHIRT,VILUCY,Vila,3999,2799,https://www.zalando.nl/vila-vilucy-tuniek-v1021e0pf-q11.html,https://img01.ztat.net/article/spp-media-p1/d61906b2b3c742dcb05fe952e522debc/3acc7ac5ee174582aaa4a6fe68262634.png?imwidth=103&filter=packshot
JA222O0YG-K11,JCOBORO CREW NECK SLIM FIT  - T-shirt print - navy blazer,MEN,T_SHIRT_TOP,JCOBORO CREW NECK SLIM FIT,Jack & Jones,1499,1499,https://www.zalando.nl/jack-jones-jcoboro-regular-fit-t-shirt-print-ja222o0yg-k11.html,https://img01.ztat.net/article/spp-media-p1/f03e649826b13e29b370f372aaedc83b/2580e47bea704081b68a47ddec650059.jpg?imwidth=103&filter=packshot
ON321N0YH-K11,ONLEMILY RAW MAE - Straight leg jeans - light blue denim,WOMEN,TROUSER,ONLEMILY RAW MAE,ONLY,3999,2999,https://www.zalando.nl/only-onlemily-raw-mae-straight-leg-jeans-light-blue-denim-on321n0yh-k11.html,https://img01.ztat.net/article/spp-media-p1/f0d820ca623443be9811d4bd2836a5f4/4acf5475e04e48969cb280fba91e48fa.jpg?imwidth=103&filter=packshot
JAM22D06O-A11,JPRBLAROYAL - Zakelijk overhemd - white,MEN,SHIRT,JPRBLAROYAL,Jack & Jones PREMIUM,3999,3199,https://www.zalando.nl/jack-and-jones-premium-jprblaroyal-zakelijk-overhemd-white-jam22d06o-a11.html,https://img01.ztat.net/article/spp-media-p1/2cc8fed0f5be31eda95ca224d6bf317a/30210d8dc1304252863221af669c25c5.jpg?imwidth=103&filter=packshot
